case,trial,older,newer,output_records,input_a_bytes,input_b_bytes,output_bytes,common_value_bytes,cpu_width_pass,cpu_ms,gpu_complete_ms,gpu_device_ms,parse_ms,order_ms,size_ms,emit_ms,assembly_ms,process
fixed-131072,3,131072,131072,218881,2632416,2632416,4394392,17,0,11.844417,6.2268749999999997,2.6758332387544215,1.601334,1.849,0.75579200000000002,0.96650000000000003,0.99600099999999991,1
fixed-131072,4,131072,131072,218881,2632416,2632416,4394392,17,0,11.925542,5.5109170000000001,2.65970837790519,1.629291,1.7990839999999999,0.48504199999999997,0.97104199999999996,0.57579199999999997,1
variable-131072,-1,131072,131072,218881,31265784,31266112,52212272,0,0,53.056125000000002,24.343582999999999,8.3201666711829603,8.9462089999999996,2.0854159999999999,0.50862499999999999,7.9651249999999996,4.6054579999999996,1
variable-131072,0,131072,131072,218881,31265784,31266112,52212272,0,0,37.195833,17.506625,8.2591666141524911,2.2563339999999998,2.1722079999999999,0.72908300000000004,7.7498339999999999,4.4100830000000002,1
variable-131072,1,131072,131072,218881,31265784,31266112,52212272,0,0,48.077083000000002,16.996292,8.3293333882465959,1.7678339999999999,2.04975,0.52179200000000003,7.808084,4.6435409999999999,1
variable-131072,2,131072,131072,218881,31265784,31266112,52212272,0,0,29.213916999999999,17.185666999999999,8.2532083033584058,2.5358749999999999,1.9062920000000001,0.53762500000000002,7.7771670000000004,4.2497499999999997,1
variable-131072,3,131072,131072,218881,31265784,31266112,52212272,0,0,36.047874999999998,17.766500000000001,8.5864582797512412,1.944375,2.1169579999999999,0.84345899999999996,8.0380830000000003,4.6075420000000005,1
variable-131072,4,131072,131072,218881,31265784,31266112,52212272,0,0,28.856041999999999,17.391249999999999,8.2546666380949318,2.4497909999999998,2.0830419999999998,0.52812499999999996,7.8185000000000002,4.3163330000000002,1
fixed-4096,-1,4096,4096,6839,82536,82536,137568,17,0,0.64345799999999997,5.5059579999999997,1.2745000422000885,3.2415829999999999,1.3127500000000001,0.26466699999999999,0.26045800000000002,0.38337500000000002,2
fixed-4096,0,4096,4096,6839,82536,82536,137568,17,0,0.69174999999999998,3.4204159999999999,1.2687083217315376,0.60524999999999995,1.015917,0.56487500000000002,0.52975000000000005,0.66883399999999993,2
fixed-4096,1,4096,4096,6839,82536,82536,137568,17,0,0.80262500000000003,3.0576669999999999,1.2988750240765512,0.85912500000000003,1.388333,0.25233299999999997,0.246333,0.28208299999999997,2
fixed-4096,2,4096,4096,6839,82536,82536,137568,17,0,0.55254199999999998,3.655875,1.2691249721683562,0.84450000000000003,0.99483299999999997,0.59766699999999995,0.53545900000000002,0.65095899999999995,2
fixed-4096,3,4096,4096,6839,82536,82536,137568,17,0,0.63491699999999995,3.1550410000000002,1.2536667636595666,0.88008299999999995,1.3018749999999999,0.29108400000000001,0.26537500000000003,0.37654199999999999,2
fixed-4096,4,4096,4096,6839,82536,82536,137568,17,0,0.54591599999999996,2.6018340000000002,1.2524583144113421,0.82004200000000005,1.0040420000000001,0.23583399999999999,0.23916699999999999,0.27300000000000002,2
variable-4096,-1,4096,4096,6839,976248,977320,1631720,0,0,1.199166,2.2824589999999998,0.50816673319786787,0.78233299999999995,0.51729099999999995,0.23591699999999999,0.314917,0.39125100000000002,2
variable-4096,0,4096,4096,6839,976248,977320,1631720,0,0,0.93029200000000001,3.071625,1.5162499621510506,0.95116699999999998,1.0183340000000001,0.265125,0.44404199999999999,0.360292,2
variable-4096,1,4096,4096,6839,976248,977320,1631720,0,0,1.178166,2.9948329999999999,1.4616666594520211,0.90629199999999999,1.0160830000000001,0.24775,0.44454100000000002,0.34650000000000003,2
variable-4096,2,4096,4096,6839,976248,977320,1631720,0,0,1.0455840000000001,3.474917,1.4767498942092061,0.93383300000000002,1.3887080000000001,0.26229200000000003,0.46995900000000002,0.387291,2
variable-4096,3,4096,4096,6839,976248,977320,1631720,0,0,1.0065,2.8315000000000001,1.4697500737383962,0.72262499999999996,1.0109170000000001,0.25633299999999998,0.441917,0.36266699999999996,2
variable-4096,4,4096,4096,6839,976248,977320,1631720,0,0,1.187208,2.7804160000000002,1.4731666306033731,0.69670799999999999,0.984958,0.236125,0.455708,0.372583,2
fixed-32768,-1,32768,32768,54712,658304,658304,1098640,17,0,3.2261250000000001,4.9209160000000001,1.633833278901875,2.2209590000000001,1.266459,0.59941599999999995,0.38908300000000001,0.40729099999999996,2
fixed-32768,0,32768,32768,54712,658304,658304,1098640,17,0,3.1665420000000002,3.9053749999999998,1.6994166653603315,0.93195799999999995,1.2740419999999999,0.894625,0.3775,0.39024999999999999,2
fixed-32768,1,32768,32768,54712,658304,658304,1098640,17,0,3.247125,3.5168330000000001,1.7121667042374611,0.75004199999999999,1.272791,0.37004199999999998,0.68637499999999996,0.396874,2
fixed-32768,2,32768,32768,54712,658304,658304,1098640,17,0,3.1342910000000002,3.403,1.6123333480209112,0.91062500000000002,1.2755000000000001,0.32916699999999999,0.405667,0.43891799999999997,2
fixed-32768,3,32768,32768,54712,658304,658304,1098640,17,0,3.3606660000000002,3.446958,1.6130416770465672,1.0049170000000001,1.3041659999999999,0.32637500000000003,0.39220899999999997,0.38120799999999999,2
fixed-32768,4,32768,32768,54712,658304,658304,1098640,17,0,3.1607500000000002,3.2412079999999999,1.6061249771155417,0.89154100000000003,1.253833,0.30058299999999999,0.38637500000000002,0.377249,2
variable-32768,-1,32768,32768,54712,7815552,7816512,13050112,0,0,8.5935000000000006,7.9875420000000004,3.1251250184141099,2.7331249999999998,1.2842499999999999,0.33604200000000001,2.423416,1.110333,2
variable-32768,0,32768,32768,54712,7815552,7816512,13050112,0,0,6.9217909999999998,6.841958,3.0210833647288382,1.110833,1.74875,0.44379200000000002,2.1175830000000002,1.341666,2
variable-32768,1,32768,32768,54712,7815552,7816512,13050112,0,0,7.140917,6.7752080000000001,3.0077083501964808,1.2121249999999999,1.306292,0.64620900000000003,2.1065830000000001,1.4211659999999999,2
variable-32768,2,32768,32768,54712,7815552,7816512,13050112,0,0,7.1980420000000001,7.1027079999999998,3.0070000211708248,1.1467499999999999,1.2904580000000001,0.66200000000000003,2.4254169999999999,1.503749,2
variable-32768,3,32768,32768,54712,7815552,7816512,13050112,0,0,6.8148749999999998,6.4866659999999996,3.0788750154897571,1.120333,1.496459,0.340167,2.2079170000000001,1.2458339999999999,2
variable-32768,4,32768,32768,54712,7815552,7816512,13050112,0,0,7.1020000000000003,7.0136250000000002,3.1137500191107392,1.0310410000000001,1.562125,0.60558299999999998,2.1394579999999999,1.554416,2
fixed-131072,-1,131072,131072,218881,2632416,2632416,4394392,17,0,12.092708,6.5607920000000002,2.748750033788383,1.9838750000000001,2.3955419999999998,0.54033299999999995,0.885625,0.68149999999999999,2
fixed-131072,0,131072,131072,218881,2632416,2632416,4394392,17,0,12.068042,5.6144579999999999,2.672666625585407,1.1597500000000001,1.8064579999999999,0.67549999999999999,0.96691700000000003,0.95941699999999996,2
fixed-131072,1,131072,131072,218881,2632416,2632416,4394392,17,0,11.801833,6.1458329999999997,2.6274584233760834,1.146083,1.8954169999999999,0.68970799999999999,1.3160000000000001,1.044875,2
fixed-131072,2,131072,131072,218881,2632416,2632416,4394392,17,0,11.793583999999999,5.7293329999999996,2.6530833565630019,1.212,1.8799159999999999,0.71691700000000003,0.86458400000000002,1.00475,2
fixed-131072,3,131072,131072,218881,2632416,2632416,4394392,17,0,11.907875000000001,5.9414170000000004,2.6586250169202685,1.200666,1.9105000000000001,0.69704200000000005,0.95883300000000005,1.1097920000000001,2
fixed-131072,4,131072,131072,218881,2632416,2632416,4394392,17,0,12.022166,6.0256670000000003,2.7400415856391191,1.3092919999999999,1.9486250000000001,0.68720899999999996,1.0025839999999999,1.0225420000000001,2
variable-131072,-1,131072,131072,218881,31265784,31266112,52212272,0,0,33.391374999999996,23.384416999999999,8.2393333432264626,8.6757080000000002,1.898916,0.55783300000000002,7.6595829999999996,4.4047499999999999,2
variable-131072,0,131072,131072,218881,31265784,31266112,52212272,0,0,31.428374999999999,17.036708000000001,8.1981666735373437,2.377208,1.940625,0.72154200000000002,7.7234170000000004,4.097709,2
variable-131072,1,131072,131072,218881,31265784,31266112,52212272,0,0,29.156583000000001,17.429167,8.2484583836048841,1.7598339999999999,2.0697920000000001,0.70970800000000001,8.0250000000000004,4.6670410000000002,2
variable-131072,2,131072,131072,218881,31265784,31266112,52212272,0,0,29.997375000000002,17.591958000000002,8.2407083245925605,2.3001659999999999,1.9452499999999999,0.55608400000000002,7.7250839999999998,4.8336259999999998,2
variable-131072,3,131072,131072,218881,31265784,31266112,52212272,0,0,28.0825,17.413499999999999,8.4120416431687772,1.8126660000000001,2.0885419999999999,0.75812500000000005,7.8373330000000001,4.6874169999999999,2
variable-131072,4,131072,131072,218881,31265784,31266112,52212272,0,0,28.975874999999998,17.800083999999998,8.3422083989717066,2.7207499999999998,1.9592499999999999,0.78845799999999999,7.6914160000000003,4.4180010000000003,2
