trial,variant,operation,bits,source_offset,iterations,ns,checksum,encoding
2,baseline,copy_to_shifted,512,0,16384,958.183,2151827,5695700198866017487
2,baseline,front_order_and_lcp,512,0,16384,39.9348,1046528,0
2,baseline,order_and_lcp,513,3,16352,985.598,8384488,0
2,baseline,order_and_lcp_early,513,3,32768,3.59088,32768,0
2,baseline,copy_to_aligned,513,3,16352,927.914,2033532,13549540094830414013
2,baseline,copy_to_shifted,513,3,16352,959.35,2025212,1277971867292287276
2,baseline,order_and_lcp,32768,0,512,4612.3,16777216,0
2,baseline,order_and_lcp_early,32768,0,32768,3.09119,32768,0
2,baseline,copy_to_aligned,32768,0,512,51.5938,65095,15697443229824947228
2,baseline,copy_to_shifted,32768,0,512,105276,70873,1340222264216771497
2,baseline,front_order_and_lcp,32768,0,512,2811.77,2097152,0
2,baseline,order_and_lcp,32769,3,512,64131.8,16777728,0
2,baseline,order_and_lcp_early,32769,3,32768,3.44467,32768,0
2,baseline,copy_to_aligned,32769,3,512,117083,64572,810501865908961312
2,baseline,copy_to_shifted,32769,3,512,105338,64487,17401643773666152548
2,baseline,read_count,4,0,932067,12.1388,6495309,14010549057497394684
2,baseline,write_count,4,0,932067,24.4303,5250149,498868200249582186
2,baseline,read_count,4,3,932067,12.1775,6495309,10667692899381957720
2,baseline,write_count,4,3,932067,23.231,5250152,14011927138326259588
2,baseline,read_count,32,0,129055,118.967,292137550098970,15992147686396580461
2,baseline,write_count,32,0,129055,273.162,7873361,17611553731688309647
2,baseline,read_count,32,3,129055,117.493,292137550098970,9259898799459493243
2,baseline,write_count,32,3,129055,275.865,7873364,12531968474777650863
2,baseline,read_count,64,0,65027,254.373,12932659232303659454,13903021642346100837
2,baseline,write_count,64,0,65027,546.769,8142099,14472678928554734552
2,baseline,read_count,64,3,65027,249.262,12932659232303659454,17979108500666303179
2,baseline,write_count,64,3,65027,559.058,8142102,11837154818368746539
2,baseline,byte_profile_build,64,0,85,61222.1,748425,11286371320756095183
2,baseline,byte_profile_reconstruct,64,0,87381,1411.5,11160646,11286371320756095183
2,baseline,bit_profile_build,64,0,85,152800,610810,10385998864525922025
2,baseline,bit_profile_reconstruct,64,0,87381,4565.08,5586176,10385998864525922025
2,baseline,byte_profile_build,1024,0,7,226292,62748,11996937336128258274
2,baseline,byte_profile_reconstruct,1024,0,7943,12914,1012034,11996937336128258274
2,baseline,bit_profile_build,1024,0,7,311982,51303,8959399144852600447
2,baseline,bit_profile_reconstruct,1024,0,7943,46775.7,514304,8959399144852600447
2,candidate,order_and_lcp,64,0,131072,7.77912,8339456,0
2,candidate,order_and_lcp_early,64,0,131072,3.67514,131072,0
2,candidate,copy_to_aligned,64,0,131072,2.66075,14951330,10612444265752500643
2,candidate,copy_to_shifted,64,0,131072,26.8542,18885030,16857641075921078406
2,candidate,front_order_and_lcp,64,0,131072,2.12447,999424,0
2,candidate,order_and_lcp,65,3,129055,16.543,8388576,0
2,candidate,order_and_lcp_early,65,3,129055,3.76519,129056,0
2,candidate,copy_to_aligned,65,3,129055,6.36776,15298147,1059025378906581750
2,candidate,copy_to_shifted,65,3,129055,10.6202,15909312,14652123482455320431
2,candidate,order_and_lcp,512,0,16384,11.116,8386560,0
2,candidate,order_and_lcp_early,512,0,32768,3.67484,32768,0
2,candidate,copy_to_aligned,512,0,16384,3.51459,2040894,7487872683394423460
2,candidate,copy_to_shifted,512,0,16384,34.6603,2151827,5695700198866017487
2,candidate,front_order_and_lcp,512,0,16384,5.88226,1046528,0
2,candidate,order_and_lcp,513,3,16352,54.2773,8384488,0
2,candidate,order_and_lcp_early,513,3,32768,3.97491,32768,0
2,candidate,copy_to_aligned,513,3,16352,12.5621,2033532,13549540094830414013
2,candidate,copy_to_shifted,513,3,16352,11.5786,2025212,1277971867292287276
2,candidate,order_and_lcp,32768,0,512,241.619,16777216,0
2,candidate,order_and_lcp_early,32768,0,32768,3.67609,32768,0
2,candidate,copy_to_aligned,32768,0,512,50.7012,65095,15697443229824947228
2,candidate,copy_to_shifted,32768,0,512,488.525,70873,1340222264216771497
2,candidate,front_order_and_lcp,32768,0,512,232.096,2097152,0
2,candidate,order_and_lcp,32769,3,512,2887.86,16777728,0
2,candidate,order_and_lcp_early,32769,3,32768,7.48572,32768,0
2,candidate,copy_to_aligned,32769,3,512,484.537,64572,810501865908961312
2,candidate,copy_to_shifted,32769,3,512,64.6973,64487,17401643773666152548
2,candidate,read_count,4,0,932067,4.5126,6495309,14010549057497394684
2,candidate,write_count,4,0,932067,5.84181,5250149,498868200249582186
2,candidate,read_count,4,3,932067,4.43575,6495309,10667692899381957720
2,candidate,write_count,4,3,932067,5.93739,5250152,14011927138326259588
2,candidate,read_count,32,0,129055,6.46753,292137550098970,15992147686396580461
2,candidate,write_count,32,0,129055,13.1546,7873361,17611553731688309647
