mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
levelwise,0,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.065459,2.960375,6.919209,4.87895833794,1.500834,0.03225,3.956459,0.304375,0.616458,0.508459,6142,23322038,2916520,3383366565
levelwise,0,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.060709,3.135834,7.496042,4.85487497644,1.619542,0.031292,1.577166,0.263875,3.498458,0.503125,6142,23322038,2916520,3383366565
levelwise,0,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.111875,2.99625,4.183583,2.28216656251,1.377375,0.048167,1.49525,0.2435,0.368208,0.650874,6142,23322038,2916520,3383366565
tiled,0,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.121125,3.186708,4.864375,2.32233339921,2.034125,0.058125,1.316958,0.263666,0.49775,0.693334,6142,23322038,2916520,3383366565
tiled,0,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.05225,3.004625,5.253917,2.41224997444,1.904667,0.035292,1.146625,0.632625,0.686125,0.848249,6142,23322038,2916520,3383366565
tiled,0,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.096,3.040875,6.373166,3.79470834741,3.424791,0.051917,1.45625,0.253,0.668375,0.518625,6142,23322038,2916520,3383366565
levelwise,0,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.642666,1.867291,5.531,3.98450007197,0.980125,0.031333,3.759,0.252083,0.233375,0.274792,6142,757836,95744,2590442344
levelwise,0,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.636916,1.8625,3.921,2.68295838032,0.773209,0.027167,2.40525,0.242375,0.208,0.264751,6142,757836,95744,2590442344
levelwise,0,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.5445,1.741708,4.019792,2.53458338557,0.948125,0.035542,2.40075,0.199459,0.2025,0.233125,6142,757836,95744,2590442344
tiled,0,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.572208,1.851708,9.332,7.19108327758,1.27875,0.025834,6.813458,0.630458,0.265208,0.318041,6142,757836,95744,2590442344
tiled,0,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.526625,1.714875,5.209417,4.00333327707,1.248167,0.029,3.278375,0.218042,0.192708,0.242917,6142,757836,95744,2590442344
tiled,0,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.560542,1.746584,4.33625,2.87683331408,0.875375,0.023458,2.74925,0.218041,0.209791,0.260042,6142,757836,95744,2590442344
levelwise,2,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.641583,4.003375,4.096209,1.67995836819,1.016959,0.025583,2.166625,0.260666,0.292375,0.333625,14334,4293202,538728,145786120
levelwise,2,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.576416,4.001541,2.993833,1.66037504096,0.74175,0.034958,1.410291,0.238542,0.25375,0.314292,14334,4293202,538728,145786120
levelwise,2,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.446958,3.776917,2.942625,1.49887503358,0.716917,0.026208,1.243917,0.34475,0.275792,0.334791,14334,4293202,538728,145786120
tiled,2,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.746417,4.297417,5.029958,1.96379161207,1.047125,0.054292,1.618042,0.27825,0.410834,1.621125,14334,4293202,538728,145786120
tiled,2,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.714583,4.157,3.221667,1.68825004948,1.033,0.024,1.402292,0.23075,0.258916,0.272417,14334,4293202,538728,145786120
tiled,2,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.613041,3.93875,3.029833,1.53620837955,0.731041,0.034083,1.280833,0.376833,0.275542,0.331125,14334,4293202,538728,145786120
