profile,distribution,records,key_bytes,access,variant,process,trials,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_min_ns,cpu_median_ns,cpu_max_ns,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
typed-bit,hash,2097152,128,sorted,packed,0,3,7668.32,7681.044,7765.658,1.0126935234836314,7639.165,7657.127,7736.855,1.0127880468611425,0.9961979938239406,0.9962909775321034,0.9968862305696987
typed-bit,hash,2097152,128,sorted,packed,1,3,7859.1,8006.894,8627.529,1.0977756995075771,7819.319,7879.498,8003.427,1.0235452729323358,0.9276615587151315,0.9840892111223153,0.9949382244786299
typed-bit,hash,2097152,128,sorted,packed,2,3,7981.745,8046.08,8112.486,1.0163800021173315,7939.81,7978.687,8069.343,1.0163143702431165,0.991624120068406,0.9946819014541288,0.9947461363398605
typed-bit,hash,2097152,128,sorted,sub32,0,3,8060.995,8069.176,8069.394,1.0010419309278817,8039.484,8044.09,8046.872,1.0009189644509524,0.9968911323783246,0.9972089601771831,0.99733147086681
typed-bit,hash,2097152,128,sorted,sub32,1,3,8288.861,8304.288,8304.403,1.0018750465232797,8253.15,8265.015,8266.883,1.0016639707263288,0.9952569739209428,0.9954957005344708,0.9956916879170732
typed-bit,hash,2097152,128,sorted,sub32,2,3,8295.323,8488.403,8522.706,1.02741098809534,8250.317,8439.795,8470.013,1.0266287949905442,0.9938173392347455,0.9942735989325672,0.9945745331435556
typed-bit,hash,524288,128,random,base,0,3,9516.216,9547.314,9572.549,1.005919684883151,9454.674,9488.813,9517.845,1.0066814572348024,0.9935329336786808,0.9938725174431259,0.9942853256744885
typed-bit,hash,524288,128,random,base,1,3,9027.634,9313.636,9403.395,1.0416234198240646,8997.619,9274.023,9375.559,1.042004445842839,0.9957467738700545,0.9966752085873221,0.9970397925430122
typed-bit,hash,524288,128,random,base,2,3,9502.958,9561.539,9590.065,1.0091663037971965,9447.921,9510.55,9532.526,1.0089548801265378,0.9940001449416661,0.9942084348894312,0.9946672810726389
typed-bit,hash,524288,128,random,direct32,0,3,9023.499,9065.309,9070.544,1.0052136094878494,8966.419,9009.293,9014.828,1.0053989223568516,0.993674294195633,0.9938208394220208,0.9938574797718858
typed-bit,hash,524288,128,random,direct32,1,3,8840.745,8863.786,8884.239,1.004919721132099,8815.162,8836.742,8850.575,1.0040172829495364,0.9962108178314429,0.9969489335595422,0.997106239349738
typed-bit,hash,524288,128,random,direct32,2,3,8847.533,9118.195,9168.317,1.036256886524187,8780.482,9063.285,9110.736,1.0376122859770114,0.9924215032597223,0.9937195670699434,0.993977974807514
typed-bit,hash,524288,128,random,direct64,0,3,9125.402,9240.488,9252.014,1.0138746764252138,9070.324,9187.897,9190.22,1.013218491423239,0.9930699413122377,0.9939643206951322,0.9945600275656438
typed-bit,hash,524288,128,random,direct64,1,3,8699.267,8965.361,9027.9,1.037777090874438,8669.874,8934.699,8997.282,1.0377638706168046,0.9965799480913261,0.9966085136078158,0.9966212095800715
typed-bit,hash,524288,128,random,direct64,2,3,9094.547,9172.756,9250.889,1.0171907407812615,9045.347,9113.548,9195.645,1.0166160568522138,0.9935452332973864,0.9940282496093079,0.9945901648537304
typed-bit,hash,524288,128,random,packed,0,3,9199.755,9232.73,9243.142,1.0047161038527657,9147.011,9180.518,9191.847,1.0049017105150524,0.9942668038442329,0.994344901237229,0.9944504801505808
typed-bit,hash,524288,128,random,packed,1,3,9097.563,9159.718,9177.86,1.0088262098322376,9036.256,9118.57,9128.177,1.0101724652333888,0.9932611623574357,0.9945866465603092,0.9955077219626193
typed-bit,hash,524288,128,random,packed,2,3,8470.655,8597.071,9283.036,1.0959053343572605,8440.056,8563.285,9246.639,1.0955660720734552,0.9960700568833268,0.9960791921953118,0.9963876465279249
typed-bit,hash,524288,128,random,sub32,0,3,8983.543,8984.296,9255.704,1.030295508130812,8943.481,8944.542,9214.84,1.0303415415093966,0.9955405122455584,0.9955751680487819,0.9955849927785072
typed-bit,hash,524288,128,random,sub32,1,3,9530.482,9531.636,9612.995,1.0086577992592611,9465.886,9472.412,9556.292,1.0095507171753388,0.9931019187052464,0.993906918873568,0.9941014220854165
typed-bit,hash,524288,128,random,sub32,2,3,9170.966,9500.592,9611.029,1.0479843671866191,9136.847,9446.729,9559.845,1.046295839253957,0.994330563821707,0.9946744516117888,0.9962796721741198
typed-bit,hash,524288,128,sorted,base,0,3,7816.364,7885.97,7913.071,1.0123723767214525,7767.617,7840.281,7870.424,1.0132353333074995,0.9937634685385687,0.994206292948109,0.9946105627006253
typed-bit,hash,524288,128,sorted,base,1,3,7453.06,7521.299,7730.754,1.0372590586953545,7431.492,7491.477,7709.16,1.0373636949350145,0.9960349934233435,0.9971061550557757,0.9972067407655191
typed-bit,hash,524288,128,sorted,base,2,3,7827.166,7907.787,7907.962,1.0103225100885813,7792.192,7858.567,7861.809,1.0089341997733117,0.993775755467364,0.9941637301747277,0.9955317160770577
