variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
candidate,4,bit-15-0,build,0,1,2632,972458,0,0,0,0,3904194795
candidate,4,bit-15-0,query,0,1,4096,23307750,0,0,0,0,6584442294199094370
candidate,4,bit-15-0,build,0,2,2632,966416,0,0,0,0,3904194795
candidate,4,bit-15-0,query,0,2,4096,23398208,0,0,0,0,6584442294199094370
candidate,4,bit-15-0,build,0,3,2632,970000,0,0,0,0,3904194795
candidate,4,bit-15-0,query,0,3,4096,23691166,0,0,0,0,6584442294199094370
candidate,4,byte-3-4096,build,0,1,5690,1251916,0,0,0,0,2588134493
candidate,4,byte-3-4096,query,0,1,4096,20990542,0,0,0,0,6584442294199094370
candidate,4,byte-3-4096,build,0,2,5690,1214375,0,0,0,0,2588134493
candidate,4,byte-3-4096,query,0,2,4096,20808917,0,0,0,0,6584442294199094370
candidate,4,byte-3-4096,build,0,3,5690,1181708,0,0,0,0,2588134493
candidate,4,byte-3-4096,query,0,3,4096,20768708,0,0,0,0,6584442294199094370
candidate,4,byte-15-4096,build,0,1,2632,660125,0,0,0,0,1896941275
candidate,4,byte-15-4096,query,0,1,4096,18036875,0,0,0,0,6584442294199094370
candidate,4,byte-15-4096,build,0,2,2632,616834,0,0,0,0,1896941275
candidate,4,byte-15-4096,query,0,2,4096,18221750,0,0,0,0,6584442294199094370
candidate,4,byte-15-4096,build,0,3,2632,644250,0,0,0,0,1896941275
candidate,4,byte-15-4096,query,0,3,4096,18596291,0,0,0,0,6584442294199094370
candidate,4,bit-3-4096,build,0,1,5690,1866791,0,0,0,0,3555944624
candidate,4,bit-3-4096,query,0,1,4096,31966542,0,0,0,0,6584442294199094370
candidate,4,bit-3-4096,build,0,2,5690,1866375,0,0,0,0,3555944624
candidate,4,bit-3-4096,query,0,2,4096,30704291,0,0,0,0,6584442294199094370
candidate,4,bit-3-4096,build,0,3,5690,1843958,0,0,0,0,3555944624
candidate,4,bit-3-4096,query,0,3,4096,31270500,0,0,0,0,6584442294199094370
candidate,4,bit-15-4096,build,0,1,2632,1012375,0,0,0,0,2558807147
candidate,4,bit-15-4096,query,0,1,4096,27785167,0,0,0,0,6584442294199094370
candidate,4,bit-15-4096,build,0,2,2632,998958,0,0,0,0,2558807147
candidate,4,bit-15-4096,query,0,2,4096,28390958,0,0,0,0,6584442294199094370
candidate,4,bit-15-4096,build,0,3,2632,1241667,0,0,0,0,2558807147
candidate,4,bit-15-4096,query,0,3,4096,28277875,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-3-0,build,1,1,5690,1139917,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,build,2,1,5690,1168209,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,build,3,1,5690,1201625,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,build,0,1,5690,1253792,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,query,0,1,4096,18233125,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-3-0,build,2,2,5690,1190917,0,0,0,0,1761918743
