records,key_bytes,distribution,query_kind,access,profile,process,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
131072,16,hash,miss,independent,typed-byte,2,3607.452,3627.757,3675.888,1.0189707305876834,1.0186842590883927,0.9971593258554123,0.9974397441740042,0.9982950897758588
131072,16,hash,mixed,dependent,typed-bit,0,7011.581,7079.391,7286.123,1.0391555057268824,1.039939683067547,0.9975910357260958,0.9983990771838762,0.9991524985235634
131072,16,hash,mixed,dependent,typed-bit,1,6870.422,6887.019,7008.692,1.020125401321782,1.019886190959332,0.9943782643840534,0.9959346194696528,0.9961682120836246
131072,16,hash,mixed,dependent,typed-bit,2,6758.286,6824.539,6929.158,1.0252833336736564,1.0201361754491305,0.9930200754550552,0.9977730363911761,0.9980304177716066
131072,16,hash,mixed,dependent,typed-byte,0,3529.516,3561.473,3676.946,1.0417705997082887,1.040401836568342,0.996358248398907,0.9972999331510444,0.9986119909925327
131072,16,hash,mixed,dependent,typed-byte,1,3520.192,3550.074,3632.345,1.0318599099140047,1.0307318416801707,0.9938680151455997,0.9962107123635008,0.9973009994909368
131072,16,hash,mixed,dependent,typed-byte,2,3418.096,3545.675,3584.747,1.0487555059892992,1.0491046476916372,0.997679994944554,0.997970203134805,0.9980121330738265
131072,16,hash,mixed,independent,typed-bit,0,6888.697,7124.354,7154.434,1.0385758003291479,1.0418657991461293,0.9931777674158246,0.9954341147534868,0.9985874494055016
131072,16,hash,mixed,independent,typed-bit,1,7117.101,7161.382,7215.902,1.0138821972598113,1.013096801293717,0.9973680352089038,0.997810338842419,0.9981412375628785
131072,16,hash,mixed,independent,typed-bit,2,6743.551,6845.5,7073.522,1.0489313419591546,1.0409975818224366,0.9904825347259824,0.9964328390913739,0.99803130427871
131072,16,hash,mixed,independent,typed-byte,0,3543.833,3649.521,3783.015,1.067492458024969,1.0670430799306,0.9941245276584947,0.9945431965896813,0.997498301831939
131072,16,hash,mixed,independent,typed-byte,1,3555.918,3644.455,3685.425,1.0364201311728787,1.0408278641837114,0.9925794117364599,0.9943688240280005,0.9985977193946424
131072,16,hash,mixed,independent,typed-byte,2,3530.258,3557.877,3590.729,1.0171293429545376,1.0149496614740157,0.9964926342255293,0.9984974185448232,0.998632677838277
131072,16,structured,hit,dependent,typed-bit,0,6550.964,6790.558,6972.214,1.0643035131928675,1.0636025382258645,0.9958720623548168,0.9969718370663895,0.9976288985865286
131072,16,structured,hit,dependent,typed-bit,1,6710.251,6764.048,6912.923,1.0302033411268818,1.0323840527321269,0.9962305433880193,0.9965012075609162,0.9983393421277802
