kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
cutover,31,train,262144,1,32,50,256,0,0,0,262144,262144,507758964,507761045,63507944,63508208,-1,-1,321,321,126.754167,145.437792,20.414959,5.94975007698,3.073542,0.056375,2.201625,0.829792,6.549583,7.703792,393194,760662888,95139792,3209971666
cutover,31,train,262144,1,32,50,256,0,1,1,262144,262144,507758964,507761045,63507944,63508208,-1,-1,321,321,124.954792,144.048417,30.979958,15.303250053,3.639208,0.033625,3.795917,0.778708,13.363625,9.368541,393194,760662888,95139792,3209971666
cutover,31,train,262144,1,32,50,256,0,2,0,262144,262144,507758964,507761045,63507944,63508208,-1,-1,321,321,127.3585,145.781208,21.340292,8.54875001824,4.040292,0.043291,2.835583,0.521792,6.611208,7.287958,393194,760662888,95139792,3209971666
cutover,32,train,262144,1,32,50,8,1,0,1,262144,262144,22817996,22817996,2875008,2875008,72,72,321,321,96.194917,98.150625,11.425875,8.2781665842,2.310791,0.041917,6.905625,0.825208,0.643417,0.698542,393194,33292382,4194600,4249291713
cutover,32,train,262144,1,32,50,8,1,1,0,262144,262144,22817996,22817996,2875008,2875008,72,72,321,321,96.146708,97.451791,7.596958,4.11700003315,1.797833,0.040792,2.436375,0.518042,1.978208,0.8255,393194,33292382,4194600,4249291713
cutover,32,train,262144,1,32,50,8,1,2,1,262144,262144,22817996,22817996,2875008,2875008,72,72,321,321,97.37725,99.088375,8.370375,4.65958338464,1.707333,0.033958,3.961333,0.534584,0.897209,1.235708,393194,33292382,4194600,4249291713
cutover,33,train,65536,16,256,0,512,1,0,0,65536,4096,270760322,16924492,33851024,2116264,4116,4116,2113,2113,20.671834,28.274875,19.945792,12.5525416224,3.721375,0.036041,8.795875,0.437166,3.875375,3.079709,69632,287653590,35962992,4048302574
cutover,33,train,65536,16,256,0,512,1,1,1,65536,4096,270760322,16924492,33851024,2116264,4116,4116,2113,2113,19.787584,27.4625,16.502167,10.3193333489,2.10825,0.039917,8.27275,0.402458,2.502375,3.176,69632,287653590,35962992,4048302574
cutover,33,train,65536,16,256,0,512,1,2,0,65536,4096,270760322,16924492,33851024,2116264,4116,4116,2113,2113,21.279708,29.57625,20.227416,12.4946666183,3.365458,0.033083,8.453209,1.805458,2.388291,4.181334,69632,287653590,35962992,4048302574
cutover,34,heldout,2048,1,64,25,32,0,0,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.927666,1.17325,5.457833,2.9771666741,1.233666,0.026833,3.365375,0.2155,0.306417,0.30975,3571,1069310,134416,2890404737
cutover,34,heldout,2048,1,64,25,32,0,1,0,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.91625,1.216334,6.637375,3.97716666339,1.256167,0.027709,2.126208,1.606125,0.871,0.749876,3571,1069310,134416,2890404737
cutover,34,heldout,2048,1,64,25,32,0,2,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.851958,1.078916,6.052333,4.46104165167,1.2765,0.025959,3.95925,0.26125,0.2415,0.287624,3571,1069310,134416,2890404737
cutover,35,heldout,2048,3,128,75,128,1,0,0,2048,682,2162347,720805,270808,90504,1040,1040,1089,1089,0.506375,0.767709,5.66625,2.23633332644,2.316541,0.015167,1.632,0.690041,0.247417,0.764917,2205,2326910,291384,702063940
cutover,35,heldout,2048,3,128,75,128,1,1,1,2048,682,2162347,720805,270808,90504,1040,1040,1089,1089,0.486708,0.686166,4.375917,2.07920838147,0.972,0.012958,2.678458,0.238667,0.218917,0.254667,2205,2326910,291384,702063940
