mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
fused,0,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.035125,2.920375,6.961125,4.19270829298,1.590417,0.048542,1.482,2.40575,1.119584,0.314541,6142,23322038,2916520,3383366565
fused,0,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.008416,2.854791,3.418125,1.69445830397,1.278166,0.065625,0.968,0.334458,0.4045,0.362167,6142,23322038,2916520,3383366565
separate,0,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.6065,1.913584,9.975,7.94620823581,1.749333,0.032084,6.706166,0.319959,0.366083,0.800792,6142,757836,95744,2590442344
separate,0,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.581791,1.796541,5.970959,2.71137489472,0.977625,0.029042,3.409917,1.028,0.2085,0.317583,6142,757836,95744,2590442344
separate,0,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.601834,1.914834,5.209833,3.0744165997,1.404042,0.026709,2.684125,0.631417,0.201333,0.261917,6142,757836,95744,2590442344
fused,0,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.54225,1.795833,8.999292,7.65629159287,1.325459,0.02325,7.048333,0.262666,0.206291,0.132958,6142,757836,95744,2590442344
fused,0,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.831125,2.092375,3.584167,2.56699993042,0.539459,0.02525,2.441292,0.258042,0.219167,0.10075,6142,757836,95744,2590442344
fused,0,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.657209,1.95275,4.226375,2.71870830329,1.227917,0.027875,2.408,0.249375,0.206334,0.1065,6142,757836,95744,2590442344
separate,2,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.6755,4.049541,6.028208,4.00704162894,1.13375,0.027125,3.917917,0.285917,0.279625,0.383667,14334,4293202,538728,145786120
separate,2,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.715792,4.077167,2.707208,1.17754179519,0.982541,0.02475,0.946459,0.234875,0.230792,0.28725,14334,4293202,538728,145786120
separate,2,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.657708,3.972166,2.996416,1.04845839087,0.630041,0.113291,1.226667,0.425959,0.244083,0.355583,14334,4293202,538728,145786120
fused,2,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.730292,4.107375,3.111708,1.60600000527,1.030166,0.034,1.361,0.263708,0.258292,0.16425,14334,4293202,538728,145786120
fused,2,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.561167,3.864375,3.174084,1.79720838787,1.1115,0.039083,1.266375,0.314,0.29575,0.147167,14334,4293202,538728,145786120
fused,2,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.639959,4.001292,4.554334,1.8322916585,2.407959,0.046167,1.309375,0.353625,0.27425,0.162667,14334,4293202,538728,145786120
fused,1,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.519625,3.877459,6.642875,4.62691672146,3.076834,0.028708,2.748125,0.284375,0.351584,0.152917,14334,4293202,538728,145786120
fused,1,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.705125,4.142458,4.252708,2.4672083091,1.866708,0.032208,1.630167,0.28375,0.266959,0.1725,14334,4293202,538728,145786120
fused,1,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.603042,3.91225,3.925083,1.32041668985,2.315667,0.032834,0.939584,0.229917,0.2565,0.150209,14334,4293202,538728,145786120
separate,1,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.601875,3.933916,3.108166,1.58025004202,1.099083,0.028,1.225,0.243708,0.247875,0.264042,14334,4293202,538728,145786120
