case,mode,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,merge_ms,output_ms,sequence,process,revision
6,typed-bit,hash-like,4096,4096,0,1,144544,144536,287712,8192,131072,2.39225,2.139041,0.247792,49,0,candidate
6,typed-bit,hash-like,4096,4096,0,2,144544,144536,287712,8192,131072,2.222916,1.993125,0.228416,49,0,candidate
6,typed-byte,hash-like,4096,4096,0,-1,144136,144120,287512,8192,131072,1.069708,0.621292,0.447083,50,0,candidate
6,typed-byte,hash-like,4096,4096,0,0,144136,144120,287512,8192,131072,0.833208,0.525958,0.296125,50,0,candidate
6,typed-byte,hash-like,4096,4096,0,1,144136,144120,287512,8192,131072,0.781083,0.544916,0.235,50,0,candidate
6,typed-byte,hash-like,4096,4096,0,2,144136,144120,287512,8192,131072,0.8365,0.604583,0.231,50,0,candidate
6,typed-byte,hash-like,4096,4096,0,-1,156672,156672,312592,8192,131072,0.880209,0.563542,0.3155,51,0,baseline
6,typed-byte,hash-like,4096,4096,0,0,156672,156672,312592,8192,131072,0.954875,0.679375,0.268459,51,0,baseline
6,typed-byte,hash-like,4096,4096,0,1,156672,156672,312592,8192,131072,0.876625,0.603333,0.272292,51,0,baseline
6,typed-byte,hash-like,4096,4096,0,2,156672,156672,312592,8192,131072,0.853209,0.572875,0.279458,51,0,baseline
6,raw-bit,hash-like,4096,4096,0,-1,139328,139320,277376,8192,131072,1.605542,1.258166,0.344417,52,0,baseline
6,raw-bit,hash-like,4096,4096,0,0,139328,139320,277376,8192,131072,1.347292,1.06575,0.276584,52,0,baseline
6,raw-bit,hash-like,4096,4096,0,1,139328,139320,277376,8192,131072,1.31175,1.058792,0.251834,52,0,baseline
6,raw-bit,hash-like,4096,4096,0,2,139328,139320,277376,8192,131072,1.506166,1.182,0.319625,52,0,baseline
6,raw-bit,hash-like,4096,4096,0,-1,139328,139320,277376,8192,131072,1.463208,1.121458,0.339583,53,0,candidate
6,raw-bit,hash-like,4096,4096,0,0,139328,139320,277376,8192,131072,1.306583,1.067709,0.230959,53,0,candidate
6,raw-bit,hash-like,4096,4096,0,1,139328,139320,277376,8192,131072,1.366375,1.131542,0.233583,53,0,candidate
6,raw-bit,hash-like,4096,4096,0,2,139328,139320,277376,8192,131072,1.358375,1.094834,0.261833,53,0,candidate
6,raw-byte,hash-like,4096,4096,0,-1,135912,135896,271048,8192,131072,0.8015,0.498167,0.299791,54,0,candidate
6,raw-byte,hash-like,4096,4096,0,0,135912,135896,271048,8192,131072,0.728667,0.466875,0.257,54,0,candidate
6,raw-byte,hash-like,4096,4096,0,1,135912,135896,271048,8192,131072,0.759792,0.468792,0.289959,54,0,candidate
