case,layout,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,internal_ms,device_ms,checksum_ms,process,mode,sequence
6,kv-fixed16,hash-like,4096,4096,0,1,144544,144536,287712,8192,131072,3.202584,3.157125,1.4699583407491446,-1.0,0,kv,13
6,kv-fixed16,hash-like,4096,4096,0,2,144544,144536,287712,8192,131072,3.219,3.185584,1.405875023920089,-1.0,0,kv,13
7,kv-fixed16,hash-like,65536,65536,0,-1,2275344,2275440,4534352,131072,2097152,12.079375,12.009917,2.798791683744639,-1.0,0,kv,14
7,kv-fixed16,hash-like,65536,65536,0,0,2275344,2275440,4534352,131072,2097152,5.458084,5.384583,2.78550002258271,-1.0,0,kv,14
7,kv-fixed16,hash-like,65536,65536,0,1,2275344,2275440,4534352,131072,2097152,6.07225,6.021791,2.915749966632575,-1.0,0,kv,14
7,kv-fixed16,hash-like,65536,65536,0,2,2275344,2275440,4534352,131072,2097152,5.824792,5.769375,2.8721666894853115,-1.0,0,kv,14
7,ff,hash-like,65536,65536,0,-1,2097408,2097408,4194560,131072,2097152,3.167583,2.691833,0.29725005151703954,0.22725,0,fixed,15
7,ff,hash-like,65536,65536,0,0,2097408,2097408,4194560,131072,2097152,1.483375,1.052875,0.22695830557495356,0.206667,0,fixed,15
7,ff,hash-like,65536,65536,0,1,2097408,2097408,4194560,131072,2097152,1.313125,0.860583,0.22324995370581746,0.225458,0,fixed,15
7,ff,hash-like,65536,65536,0,2,2097408,2097408,4194560,131072,2097152,1.391833,0.9805,0.22862502373754978,0.2055,0,fixed,15
8,ff,hash-like,262144,262144,0,-1,8388864,8388864,16777472,524288,8388608,4.823792,3.547084,0.7037082687020302,0.929458,0,fixed,16
8,ff,hash-like,262144,262144,0,0,8388864,8388864,16777472,524288,8388608,3.186625,1.763,0.5573333473876119,0.925916,0,fixed,16
8,ff,hash-like,262144,262144,0,1,8388864,8388864,16777472,524288,8388608,3.470583,1.992292,0.5906666629016399,0.985417,0,fixed,16
8,ff,hash-like,262144,262144,0,2,8388864,8388864,16777472,524288,8388608,4.002791,1.633041,0.5564166349358857,0.855625,0,fixed,16
8,kv-fixed16,hash-like,262144,262144,0,-1,9035616,9035696,18005776,524288,8388608,18.770625,18.671292,5.104416573885828,-1.0,0,kv,17
8,kv-fixed16,hash-like,262144,262144,0,0,9035616,9035696,18005776,524288,8388608,12.360292,12.275667,7.360916642937809,-1.0,0,kv,17
8,kv-fixed16,hash-like,262144,262144,0,1,9035616,9035696,18005776,524288,8388608,13.976542,13.849834,8.21325002470985,-1.0,0,kv,17
8,kv-fixed16,hash-like,262144,262144,0,2,9035616,9035696,18005776,524288,8388608,12.263209,12.167375,7.595041650347412,-1.0,0,kv,17
9,kv-variable,hash-like,4096,4096,0,-1,1130408,1130760,2259808,8192,2096697,8.631875,8.557792,1.746166672091931,-1.0,0,kv,18
9,kv-variable,hash-like,4096,4096,0,0,1130408,1130760,2259808,8192,2096697,4.189584,4.132166,1.7549999756738544,-1.0,0,kv,18
9,kv-variable,hash-like,4096,4096,0,1,1130408,1130760,2259808,8192,2096697,4.599,4.526417,1.9267500611022115,-1.0,0,kv,18
9,kv-variable,hash-like,4096,4096,0,2,1130408,1130760,2259808,8192,2096697,4.467917,4.418666,1.7370000132359564,-1.0,0,kv,18
9,fv,hash-like,4096,4096,0,-1,1119360,1119728,2238808,8192,2096697,2.999791,2.59175,0.22083340445533395,0.122334,0,fixed,19
9,fv,hash-like,4096,4096,0,0,1119360,1119728,2238808,8192,2096697,1.510458,1.171209,0.24633330758661032,0.127,0,fixed,19
9,fv,hash-like,4096,4096,0,1,1119360,1119728,2238808,8192,2096697,1.558834,1.157334,0.24587498046457767,0.115334,0,fixed,19
9,fv,hash-like,4096,4096,0,2,1119360,1119728,2238808,8192,2096697,1.672375,1.289542,0.24654169101268053,0.149,0,fixed,19
10,fv,hash-like,65536,65536,0,-1,17911656,17912304,35823672,131072,33554202,8.444666,5.742333,1.5729166334494948,2.285083,0,fixed,20
10,fv,hash-like,65536,65536,0,0,17911656,17912304,35823672,131072,33554202,7.230583,3.942708,1.5490000369027257,2.641291,0,fixed,20
10,fv,hash-like,65536,65536,0,1,17911656,17912304,35823672,131072,33554202,6.094833,3.14175,1.5617500175721943,2.184416,0,fixed,20
10,fv,hash-like,65536,65536,0,2,17911656,17912304,35823672,131072,33554202,7.804416,4.436458,1.856166636571288,2.530083,0,fixed,20
10,kv-variable,hash-like,65536,65536,0,-1,18055296,18056040,36094904,131072,33554202,21.774791,21.572583,5.01958339009434,-1.0,0,kv,21
10,kv-variable,hash-like,65536,65536,0,0,18055296,18056040,36094904,131072,33554202,12.993292,12.831333,5.99279161542654,-1.0,0,kv,21
10,kv-variable,hash-like,65536,65536,0,1,18055296,18056040,36094904,131072,33554202,12.997875,12.829,4.944458254612982,-1.0,0,kv,21
10,kv-variable,hash-like,65536,65536,0,2,18055296,18056040,36094904,131072,33554202,11.93025,11.639292,4.825916665140539,-1.0,0,kv,21
11,kv-variable,hash-like,131072,131072,0,-1,36094336,36094632,72156216,262144,67107712,43.45425,43.118209,8.336166734807193,-1.0,0,kv,22
11,kv-variable,hash-like,131072,131072,0,0,36094336,36094632,72156216,262144,67107712,19.226541,18.957667,5.093249958008528,-1.0,0,kv,22
11,kv-variable,hash-like,131072,131072,0,1,36094336,36094632,72156216,262144,67107712,19.136,18.840625,4.093291703611612,-1.0,0,kv,22
11,kv-variable,hash-like,131072,131072,0,2,36094336,36094632,72156216,262144,67107712,18.27075,17.964958,5.374791624490172,-1.0,0,kv,22
11,fv,hash-like,131072,131072,0,-1,35823192,35823456,71646360,262144,67107712,14.356292,8.274042,2.503874944522977,5.438583,0,fixed,23
11,fv,hash-like,131072,131072,0,0,35823192,35823456,71646360,262144,67107712,10.750708,4.325667,1.4752499992027879,4.927542,0,fixed,23
11,fv,hash-like,131072,131072,0,1,35823192,35823456,71646360,262144,67107712,12.836917,6.1535,1.7285416834056377,5.3445,0,fixed,23
11,fv,hash-like,131072,131072,0,2,35823192,35823456,71646360,262144,67107712,14.624542,7.371458,2.2365833283402026,5.842167,0,fixed,23
4,kv-variable,structured,65536,65536,0,-1,17023440,17024088,34005736,131072,33554202,21.179125,21.037125,5.785625020507723,-1.0,1,kv,24
4,kv-variable,structured,65536,65536,0,0,17023440,17024088,34005736,131072,33554202,13.010541,12.861292,6.568833428900689,-1.0,1,kv,24
4,kv-variable,structured,65536,65536,0,1,17023440,17024088,34005736,131072,33554202,12.308583,12.118333,4.9518749583512545,-1.0,1,kv,24
4,kv-variable,structured,65536,65536,0,2,17023440,17024088,34005736,131072,33554202,10.922333,10.79475,4.2534584063105285,-1.0,1,kv,24
4,fv,structured,65536,65536,0,-1,17911656,17912304,35823672,131072,33554202,8.443458,5.035417,0.8624583133496344,2.935042,1,fixed,25
4,fv,structured,65536,65536,0,0,17911656,17912304,35823672,131072,33554202,6.045875,3.219834,0.8581666625104845,2.152625,1,fixed,25
4,fv,structured,65536,65536,0,1,17911656,17912304,35823672,131072,33554202,6.440917,3.251542,1.4242499601095915,2.410166,1,fixed,25
4,fv,structured,65536,65536,0,2,17911656,17912304,35823672,131072,33554202,6.535833,3.515042,1.2527083745226264,2.215125,1,fixed,25
5,fv,structured,131072,131072,0,-1,35823192,35823456,71646360,262144,67107712,15.085041,8.876584,1.6830000095069408,5.46575,1,fixed,26
5,fv,structured,131072,131072,0,0,35823192,35823456,71646360,262144,67107712,13.040917,5.667,2.459041657857597,5.939958,1,fixed,26
5,fv,structured,131072,131072,0,1,35823192,35823456,71646360,262144,67107712,12.519541,6.490042,2.2763333981856704,4.909625,1,fixed,26
5,fv,structured,131072,131072,0,2,35823192,35823456,71646360,262144,67107712,13.516542,6.151708,1.3151249731890857,6.127125,1,fixed,26
5,kv-variable,structured,131072,131072,0,-1,34046688,34046952,68010440,262144,67107712,30.7135,30.425334,5.699916684534401,-1.0,1,kv,27
5,kv-variable,structured,131072,131072,0,0,34046688,34046952,68010440,262144,67107712,22.676166,22.384125,10.761416691821069,-1.0,1,kv,27
5,kv-variable,structured,131072,131072,0,1,34046688,34046952,68010440,262144,67107712,17.432667,17.121458,5.182666645850986,-1.0,1,kv,27
5,kv-variable,structured,131072,131072,0,2,34046688,34046952,68010440,262144,67107712,16.257458,16.005334,5.379208305384964,-1.0,1,kv,27
6,kv-fixed16,hash-like,4096,4096,0,-1,144544,144536,287712,8192,131072,7.323542,7.259583,0.8572916267439723,-1.0,1,kv,28
6,kv-fixed16,hash-like,4096,4096,0,0,144544,144536,287712,8192,131072,2.771959,2.728083,0.9485416812822223,-1.0,1,kv,28
6,kv-fixed16,hash-like,4096,4096,0,1,144544,144536,287712,8192,131072,2.532,2.490292,0.8304165676236153,-1.0,1,kv,28
6,kv-fixed16,hash-like,4096,4096,0,2,144544,144536,287712,8192,131072,2.492041,2.464959,0.9671666193753481,-1.0,1,kv,28
6,ff,hash-like,4096,4096,0,-1,131328,131328,262400,8192,131072,3.38025,3.149916,0.18016656395047903,0.018958,1,fixed,29
6,ff,hash-like,4096,4096,0,0,131328,131328,262400,8192,131072,1.023083,0.87,0.1413750578649342,0.013417,1,fixed,29
6,ff,hash-like,4096,4096,0,1,131328,131328,262400,8192,131072,1.173375,1.046625,0.16325002070516348,0.014083,1,fixed,29
6,ff,hash-like,4096,4096,0,2,131328,131328,262400,8192,131072,1.065084,0.909583,0.14187494525685906,0.014917,1,fixed,29
7,ff,hash-like,65536,65536,0,-1,2097408,2097408,4194560,131072,2097152,2.830209,2.38325,0.1727916533127427,0.22,1,fixed,30
7,ff,hash-like,65536,65536,0,0,2097408,2097408,4194560,131072,2097152,2.13575,1.599792,0.14525000005960464,0.238375,1,fixed,30
7,ff,hash-like,65536,65536,0,1,2097408,2097408,4194560,131072,2097152,1.319416,0.8895,0.12441660510376096,0.207334,1,fixed,30
