fixture,records,family,byte_total,bit_total,byte_native,bit_native,byte_index,bit_index,total_delta_percent,native_delta_percent,index_delta_percent,extra_bytes_per_record
string-prefix-variable,8192,typed,2160000,2143096,2146184,2129640,13816,13456,0.7887654122820553,0.7768449127552035,2.675386444708683,2.0634765625
string-prefix-variable,8192,typed-known,2160000,2143096,2146184,2129640,13816,13456,0.7887654122820553,0.7768449127552035,2.675386444708683,2.0634765625
string-prefix-variable,32768,raw,8603160,8587112,8558088,8543488,45072,43624,0.18688471746961532,0.17089039043538534,3.319273794241706,0.48974609375
string-prefix-variable,32768,typed,8636008,8567320,8590936,8523696,45072,43624,0.8017443027691362,0.7888596683879756,3.319273794241706,2.09619140625
string-prefix-variable,32768,typed-known,8636008,8567320,8590936,8523696,45072,43624,0.8017443027691362,0.7888596683879756,3.319273794241706,2.09619140625
string-prefix-variable,131072,raw,34400352,34335840,34229272,34170552,171080,165288,0.18788531167432954,0.171843873051869,3.5041866318183956,0.4921875
string-prefix-variable,131072,typed,34531720,34255656,34360632,34090368,171088,165288,0.805893193229168,0.7927869831150014,3.5090266686026883,2.106201171875
string-prefix-variable,131072,typed-known,34531720,34255656,34360632,34090368,171088,165288,0.805893193229168,0.7927869831150014,3.5090266686026883,2.106201171875
string-structured-fixed,1024,raw,31616,31752,27136,27232,4480,4520,-0.42831947593852115,-0.3525264394829586,-0.8849557522123908,-0.1328125
string-structured-fixed,1024,typed,33680,33368,29192,28848,4488,4520,0.9350275713258194,1.1924570160843029,-0.707964601769917,0.3046875
string-structured-fixed,1024,typed-known,32648,33368,28160,28848,4488,4520,-2.15775593382882,-2.3849140321686058,-0.707964601769917,-0.703125
string-structured-fixed,8192,raw,226632,227704,209272,210152,17360,17552,-0.47078663528089537,-0.4187445277703761,-1.0938924339106704,-0.130859375
string-structured-fixed,8192,typed,243120,238328,225760,220776,17360,17552,2.0106743647410275,2.257491756350327,-1.0938924339106704,0.5849609375
string-structured-fixed,8192,typed-known,234824,238328,217464,220776,17360,17552,-1.4702426907455268,-1.5001630612023087,-1.0938924339106704,-0.427734375
string-structured-fixed,32768,raw,892960,897416,833808,837448,59152,59968,-0.4965367232142026,-0.4346538531347588,-1.3607257203842038,-0.135986328125
string-structured-fixed,32768,typed,958936,938872,899776,878904,59160,59968,2.1370325241353516,2.374775857203981,-1.3473852721451407,0.6123046875
string-structured-fixed,32768,typed-known,925736,938872,866576,878904,59160,59968,-1.3991257594219486,-1.4026560352438988,-1.3473852721451407,-0.40087890625
string-structured-fixed,131072,raw,3559432,3577128,3332064,3346520,227368,230608,-0.49469854028147964,-0.43197112224041545,-1.4049816138208548,-0.135009765625
string-structured-fixed,131072,typed,3823240,3741976,3595864,3511368,227376,230608,2.171686830701214,2.406355585629294,-1.4015125234163595,0.6199951171875
string-structured-fixed,131072,typed-known,3690512,3741976,3463136,3511368,227376,230608,-1.3753161431286576,-1.3735957040105218,-1.4015125234163595,-0.39263916015625
string-structured-variable,1024,raw,277200,278248,272720,273728,4480,4520,-0.3766424197119145,-0.3682487725040873,-0.8849557522123908,-1.0234375
string-structured-variable,1024,typed,278248,277960,273760,273440,4488,4520,0.1036120305079935,0.1170275014628519,-0.707964601769917,0.28125
string-structured-variable,1024,typed-known,278248,277960,273760,273440,4488,4520,0.1036120305079935,0.1170275014628519,-0.707964601769917,0.28125
string-structured-variable,8192,raw,2204472,2212784,2187112,2195232,17360,17552,-0.37563539866520834,-0.3698925671637432,-1.0938924339106704,-1.0146484375
string-structured-variable,8192,typed,2212696,2208096,2195336,2190544,17360,17552,0.2083242757561221,0.21875844539074318,-1.0938924339106704,0.5615234375
string-structured-variable,8192,typed-known,2212696,2208096,2195336,2190544,17360,17552,0.2083242757561221,0.21875844539074318,-1.0938924339106704,0.5615234375
string-structured-variable,32768,raw,8813872,8847048,8754720,8787080,59152,59968,-0.3749951396217144,-0.3682679570460312,-1.3607257203842038,-1.012451171875
string-structured-variable,32768,typed,8846720,8827264,8787560,8767296,59160,59968,0.22040804489364962,0.23113169670556655,-1.3473852721451407,0.59375
string-structured-variable,32768,typed-known,8846720,8827264,8787560,8767296,59160,59968,0.22040804489364962,0.23113169670556655,-1.3473852721451407,0.59375
string-structured-variable,131072,raw,35243112,35375504,35015744,35144896,227368,230608,-0.3742476714960752,-0.367484370988036,-1.4049816138208548,-1.01007080078125
string-structured-variable,131072,typed,35374496,35295320,35147120,35064712,227376,230608,0.22432435801686967,0.23501690246308105,-1.4015125234163595,0.60406494140625
string-structured-variable,131072,typed-known,35374496,35295320,35147120,35064712,227376,230608,0.22432435801686967,0.23501690246308105,-1.4015125234163595,0.60406494140625
